title,url,date,clean_title,sentiment,sentiment_label
Sports,https://www.reuters.com/sports/,2025-07-10T23:44:44.806030,sports,0.0,Neutral
Science,https://www.reuters.com/science/,2025-07-10T23:44:44.806030,science,0.0,Neutral
Lifestyle,https://www.reuters.com/lifestyle/,2025-07-10T23:44:44.806030,lifestyle,0.0,Neutral
City Memo,https://www.reuters.com/city-memo/,2025-07-10T23:44:44.806030,city memo,0.0,Neutral
Graphics,https://www.reuters.com/graphics/,2025-07-10T23:44:44.806030,graphics,0.0,Neutral
Pictures,https://www.reuters.com/pictures/,2025-07-10T23:44:44.806030,pictures,0.0,Neutral
Wider Image,https://www.reuters.com/wider-image/,2025-07-10T23:44:44.806030,wider image,0.0,Neutral
Podcasts,https://www.reuters.com/podcasts/,2025-07-10T23:44:44.806030,podcasts,0.0,Neutral
Live,https://www.reuters.com/live/,2025-07-10T23:44:44.806030,live,0.13636363636363635,Positive
Fact Check,https://www.reuters.com/fact-check/,2025-07-10T23:44:44.806030,fact check,0.0,Neutral
Video,https://www.reuters.com/video/,2025-07-10T23:44:44.806030,video,0.0,Neutral
Sponsored Content,https://www.reuters.com/sponsored/,2025-07-10T23:44:44.806030,sponsored content,0.0,Neutral
Russia bombards Kyiv before 'frank' talks with US and aid pledges,https://www.reuters.com/business/aerospace-defense/ukrainian-air-defences-repel-russian-drone-attack-kyiv-2025-07-10/,2025-07-10T23:44:44.806030,russia bombards kyiv frank talks us aid pledges,0.0,Neutral
"Ukrainian spy colonel gunned down in Kyiv, assailant flees",https://www.reuters.com/world/europe/ukrainian-spy-colonel-gunned-down-kyiv-2025-07-10/,2025-07-10T23:44:44.806030,ukrainian spy colonel gunned kyiv assailant flees,0.0,Neutral
Rubio seeks to counter unease over Trump tariffs on first Asia trip,https://www.reuters.com/world/asia-pacific/rubio-makes-first-visit-asia-trump-tariffs-loom-2025-07-09/,2025-07-10T23:44:44.806030,rubio seeks counter unease trump tariffs first asia trip,0.25,Positive
Effigies of refugees on bonfire condemned in Northern Ireland,https://www.reuters.com/world/effigies-refugees-bonfire-condemned-northern-ireland-2025-07-10/,2025-07-10T23:44:44.806030,effigies refugees bonfire condemned northern ireland,0.0,Neutral
Israeli strike kills children near Gaza clinic with no immediate truce in sight,https://www.reuters.com/world/middle-east/israeli-strike-hits-near-gaza-medical-centre-truce-talks-continue-2025-07-10/,2025-07-10T23:44:44.806030,israeli strike kills children near gaza clinic immediate truce sight,0.1,Neutral
Exclusive: Mali military helicopter airlifts gold from Barrick-owned Loulo-Gounkoto,https://www.reuters.com/world/africa/mali-military-helicopter-airlifts-gold-barrick-owned-loulo-gounkoto-2025-07-10/,2025-07-10T23:44:44.806030,exclusive mali military helicopter airlifts gold barrickowned loulogounkoto,-0.1,Neutral
Argentina Congress passes pension boost despite Milei opposition,https://www.reuters.com/world/americas/argentina-congress-passes-pension-boost-despite-milei-opposition-2025-07-10/,2025-07-10T23:44:44.806030,argentina congress passes pension boost despite milei opposition,0.0,Neutral
Gaza doctors cram babies into incubators as fuel shortage threatens hospitals,https://www.reuters.com/world/middle-east/fuel-shortage-threatens-turn-gazas-biggest-hospital-into-graveyard-doctors-say-2025-07-09/,2025-07-10T23:44:44.806030,gaza doctors cram babies incubators fuel shortage threatens hospitals,0.0,Neutral
'We go on living': Kyiv embraces city routines after nights of terror,https://www.reuters.com/business/aerospace-defense/we-go-living-kyiv-embraces-city-routines-after-nights-terror-2025-07-10/,2025-07-10T23:44:44.806030,go living kyiv embraces city routines nights terror,0.0,Neutral
Netanyahu says he hopes hostage deal can be done in few days,https://www.reuters.com/world/middle-east/netanyahu-says-he-hopes-hostage-deal-can-be-done-few-days-2025-07-10/,2025-07-10T23:44:44.806030,netanyahu says hopes hostage deal done days,0.0,Neutral
Mahmoud Khalil seeks $20 million from Trump administration over immigration arrest,https://www.reuters.com/legal/government/mahmoud-khalil-seeks-20-million-trump-administration-over-immigration-arrest-2025-07-10/,2025-07-10T23:44:44.806030,mahmoud khalil seeks million trump administration immigration arrest,-0.05,Neutral
"British PM Starmer to visit Trump during his trip to Scotland this month, source says",https://www.reuters.com/world/uk/british-pm-starmer-visit-trump-during-his-trip-scotland-this-month-source-says-2025-07-10/,2025-07-10T23:44:44.806030,british pm starmer visit trump trip scotland month source says,0.0,Neutral
"Rescuers save four more survivors from Houthi-struck ship in Red Sea, 10 still missing, operator says",https://www.reuters.com/world/middle-east/rescuers-rescue-four-more-mariners-houthi-struck-ship-11-still-missing-2025-07-10/,2025-07-10T23:44:44.806030,rescuers save four survivors houthistruck ship red sea still missing operator says,-0.1,Neutral
"Israel will strike Iran again if threatened, defence minister says",https://www.reuters.com/world/middle-east/israel-will-strike-iran-again-if-threatened-defence-minister-says-2025-07-10/,2025-07-10T23:44:44.806030,israel strike iran threatened defence minister says,0.0,Neutral
